username,repo_name,repo_url,star_count
realm,SwiftLint,https:github.com/realm/SwiftLint,15400
facebook,infer,https:github.com/facebook/infer,12800
analysis-tools-dev,static-analysis,https:github.com/analysis-tools-dev/static-analysis,9100
checkstyle,checkstyle,https:github.com/checkstyle/checkstyle,6500
Kristories,awesome-guidelines,https:github.com/Kristories/awesome-guidelines,6400
SonarSource,sonarqube,https:github.com/SonarSource/sonarqube,6300
facebook,pyre-check,https:github.com/facebook/pyre-check,5700
reviewdog,reviewdog,https:github.com/reviewdog/reviewdog,4400
simplecov-ruby,simplecov,https:github.com/simplecov-ruby/simplecov,4400
detekt,detekt,https:github.com/detekt/detekt,4100
PyCQA,pylint,https:github.com/PyCQA/pylint,3700
import-js,eslint-plugin-import,https:github.com/import-js/eslint-plugin-import,3700
phpro,grumphp,https:github.com/phpro/grumphp,3600
pmd,pmd,https:github.com/pmd/pmd,3600
htmlhint,HTMLHint,https:github.com/htmlhint/HTMLHint,2700
kucherenko,jscpd,https:github.com/kucherenko/jscpd,2400
codeclimate,codeclimate,https:github.com/codeclimate/codeclimate,2300
trekhleb,state-of-the-art-shitcode,https:github.com/trekhleb/state-of-the-art-shitcode,2200
uber,piranha,https:github.com/uber/piranha,1800
wemake-services,wemake-python-styleguide,https:github.com/wemake-services/wemake-python-styleguide,1700
ehmicky,cross-platform-node-guide,https:github.com/ehmicky/cross-platform-node-guide,1200
urish,typewiz,https:github.com/urish/typewiz,1100
Tencent,feflow,https:github.com/Tencent/feflow,1100
jakzal,phpqa,https:github.com/jakzal/phpqa,953
joshuaclayton,unused,https:github.com/joshuaclayton/unused,876
imgbot,Imgbot,https:github.com/imgbot/Imgbot,831
pdepend,pdepend,https:github.com/pdepend/pdepend,774
SonarSource,SonarTS,https:github.com/SonarSource/SonarTS,772
SonarSource,SonarJS,https:github.com/SonarSource/SonarJS,765
bufferapp,android-guidelines,https:github.com/bufferapp/android-guidelines,758
